,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,North America,South Asia,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,North America,South Asia,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,North America,South Asia,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,North America
Latin America & Caribbean,BRA,11387.477,17865.67,135,RCP 2.6,2080-2099,0.22640681,19.325884,24.080504,-81.0955109,455.2534592,385.7866056,132.7219446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11387.477,#N/A,#N/A,#N/A,#N/A,455.2534592,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
East Asia & Pacific,BRN,48450.116,73385.235,66,RCP 2.6,2080-2099,0.26797115,26.70945,27.822055,28.23284347,146.6997241,108.0470685,-30.31975392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48450.116,#N/A,#N/A,#N/A,#N/A,#N/A,146.6997241,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Europe & Central Asia,BGR,13229.364,41249.653,45,RCP 2.6,2080-2099,-0.02166497,-0.44786158,21.085567,-308.0316192,551.7811714,322.8451801,-13.59194919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13229.364,#N/A,551.7811714,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,BFA,1336.1695,6907.9556,201,RCP 2.6,2080-2099,-0.01422657,25.416705,32.773199,96.04537194,1534.486428,1054.545066,676.8936011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.1695,#N/A,#N/A,#N/A,1534.486428,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,BDI,597.48624,5398.4586,175,RCP 2.6,2080-2099,-0.04511261,19.918393,21.473938,-118.9644986,1036.719042,646.7180651,308.4762794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.48624,#N/A,#N/A,#N/A,1036.719042,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
East Asia & Pacific,KHM,2591.6472,13947.615,10,RCP 2.6,2080-2099,0.18783517,25.928762,29.908845,8.601585273,762.5378386,479.9708486,246.8710367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591.6472,#N/A,#N/A,#N/A,#N/A,#N/A,762.5378386,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,CMR,2337.2258,12777.566,202,RCP 2.6,2080-2099,0.51952593,23.07427,26.500662,78.2376894,870.0291266,546.5347593,265.4226043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2337.2258,#N/A,#N/A,#N/A,870.0291266,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North America,CAN,37753.225,90412.343,101,RCP 2.6,2080-2099,0.15844086,-8.073534,19.399454,-57.5372093,122.7736281,56.77125394,-68.86654492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37753.225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122.7736281,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,CPV,4145.5939,15469.957,203,RCP 2.6,2080-2099,0.47851454,18.85,23.00625,-14.24463432,541.1193867,359.3024284,130.3560427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145.5939,#N/A,#N/A,#N/A,541.1193867,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,CAF,799.04998,4760.2374,169,RCP 2.6,2080-2099,0.47210207,24.148103,27.438802,3302.797864,2542.200254,1740.977799,1092.254714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.04998,#N/A,#N/A,#N/A,2542.200254,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,TCD,1427.1551,7796.3576,204,RCP 2.6,2080-2099,0.29392956,24.843572,32.77612,-309.1839369,2252.79599,1513.247812,972.2990233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.1551,#N/A,#N/A,#N/A,2252.79599,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latin America & Caribbean,CHL,16540.86,40415.601,98,RCP 2.6,2080-2099,0.58251723,7.4292441,18.183714,-55.34583512,228.2251805,142.1267945,-40.61201197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16540.86,#N/A,#N/A,#N/A,#N/A,228.2251805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
East Asia & Pacific,CHN,10181.835,35424.167,6,RCP 2.6,2080-2099,0.1408744,1.1795175,26.012396,-113.3392793,334.5913567,200.4403698,56.0895906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10181.835,#N/A,#N/A,#N/A,#N/A,#N/A,334.5913567,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latin America & Caribbean,COL,10007.997,24224.496,125,RCP 2.6,2080-2099,0.42807073,20.352827,21.005486,-41.76778769,245.2444801,172.6088234,20.78912454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.997,#N/A,#N/A,#N/A,#N/A,245.2444801,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,COM,1017.9856,6458.3969,176,RCP 2.6,2080-2099,0.28545954,22.890625,26.778125,-29.91023805,975.4563745,642.8637675,372.5626476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.9856,#N/A,#N/A,#N/A,975.4563745,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,COG,4972.9376,20171.429,171,RCP 2.6,2080-2099,0.49860931,23.126311,26.60197,-65.25605217,628.1083228,397.677765,154.9608676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972.9376,#N/A,#N/A,#N/A,628.1083228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latin America & Caribbean,CRI,12128.968,26815.49,126,RCP 2.6,2080-2099,0.21075595,21.264989,22.813753,-47.31771466,297.4333719,214.8848752,31.90403668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12128.968,#N/A,#N/A,#N/A,#N/A,297.4333719,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sub-Saharan Africa,CIV,1932.8132,16397.92,205,RCP 2.6,2080-2099,0.39441868,24.733266,28.139957,29.04406366,968.6012846,536.762483,248.3250625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.8132,#N/A,#N/A,#N/A,968.6012846,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Europe & Central Asia,HRV,16875.343,31292.652,46,RCP 2.6,2080-2099,-0.54986672,1.400567,22.181739,-176.8588152,302.2289463,229.4540783,25.85601252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16875.343,#N/A,302.2289463,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Europe & Central Asia,CYP,17741.468,29985.655,77,RCP 2.6,2080-2099,-0.66898385,10.845714,26.758326,-94.91301683,189.4767029,151.4519226,39.03350251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17741.468,#N/A,189.4767029,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
